Generation,BestFitness,AvgFitness
0,333.333,182.255
1,500,254.714
2,1000,327.667
3,1000,456.667
4,1000,581.667
5,1000,721.667
6,1000,826.667
7,1000,913.333
8,1000,960
9,1000,950
10,1000,960
11,1000,960
12,1000,955
13,1000,970
14,1000,930
15,1000,960
16,1000,960
17,1000,950
18,1000,960
19,1000,980
20,1000,956.667
21,1000,920
22,1000,940
23,1000,956.667
24,1000,940
25,1000,960
26,1000,940
27,1000,916.667
28,1000,980
29,1000,980
30,1000,936.667
31,1000,950
32,1000,980
33,1000,960
34,1000,940
35,1000,930
36,1000,980
37,1000,960
38,1000,980
39,1000,970
40,1000,960
41,1000,960
42,1000,970
43,1000,970
44,1000,936.667
45,1000,966.667
46,1000,970
47,1000,970
48,1000,980
49,1000,960
