Generation,BestFitness,AvgFitness
0,32.2581,18.7147
1,32.2581,24.0799
2,32.2581,26.893
3,32.2581,30.0538
4,32.2581,30.3447
5,32.2581,29.9198
6,32.2581,31.2203
7,45.4545,31.5955
8,45.4545,31.6863
9,45.4545,33.366
10,45.4545,35.9769
11,50,41.3697
12,50,43.127
13,50,43.673
14,52.6316,45.5406
15,52.6316,48.1646
16,52.6316,48.8722
17,52.6316,49.1303
18,52.6316,49.0451
19,52.6316,49.3409
20,52.6316,49.203
21,52.6316,49.1128
22,52.6316,49.2556
23,52.6316,49.0977
24,52.6316,49.4887
25,52.6316,49.8622
26,52.6316,49.7619
27,52.6316,49.7093
28,52.6316,48.9023
29,52.6316,49.4461
30,52.6316,50.2431
31,52.6316,50
32,52.6316,49.4987
33,52.6316,49.2882
34,52.6316,49.0075
35,52.6316,49.6992
36,52.6316,49.4461
37,52.6316,49.0451
38,52.6316,49.7419
39,52.6316,49.1504
40,52.6316,48.8596
41,52.6316,49.218
42,52.6316,49.2506
43,52.6316,49.208
44,52.6316,49.4887
45,52.6316,49.5464
46,52.6316,50.0376
47,52.6316,49.3033
48,52.6316,49.7043
49,52.6316,49.7519
