Generation,BestFitness,AvgFitness
0,9.35665,6.10926
1,9.35665,6.73916
2,13.5563,7.43454
3,13.5563,8.36032
4,15.9984,9.34828
5,15.9984,10.8477
6,20.4556,12.4539
7,20.4556,12.9765
8,20.4556,13.0512
9,23.6931,14.2331
10,31.6584,15.6744
11,33.904,19.4509
12,45.2579,22.1148
13,45.2579,25.1595
14,52.5203,27.7931
15,52.5203,32.9941
16,53.826,34.3586
17,58.0505,38.0131
18,61.0731,42.2206
19,61.0731,51.5522
20,61.8286,51.055
21,66.5201,54.0486
22,66.5201,54.6837
23,67.0926,60.4399
24,71.9529,64.7277
25,72.6342,65.6299
26,76.0584,68.053
27,78.1813,70.8368
28,79.8575,71.9551
29,79.8575,75.1955
30,79.8575,76.1664
31,80.4843,78.2908
32,80.8778,79.2064
33,81.0705,78.7096
34,81.3856,80.1287
35,81.5506,78.8565
36,81.5637,80.1197
37,81.7406,79.5581
38,81.8154,81.0102
39,81.8521,80.9808
40,81.9615,80.9929
41,82.0421,81.5675
42,82.101,81.0127
43,82.2785,81.9701
44,82.2785,81.7128
45,82.3909,81.7276
46,82.7045,81.4696
47,82.8732,81.4807
48,82.9123,81.8427
49,82.9123,81.1832
